Sym,logFC,AveExpr,t,P.Value,adj.P.Val,B
NRTN,0.140300217955417,9.89314909610213,2.03876292422686,0.103157609145534,0.323113326303166,-5.23679995935633
ILF3,0.140115520432369,9.83085670900233,1.53177475481928,0.19236719667182,0.429754909387161,-5.87360807664389
MAGED2,-0.140105286982559,11.2470913312869,-1.3838404114313,0.230970957173361,0.469969988048793,-6.05053913808716
PAK1,-0.140029449577122,8.89086311491028,-1.96587412971054,0.112704687250303,0.33580202064658,-5.32978945848327
PPP1R11,-0.140001480943546,10.5392397667785,-1.50969554960591,0.197697648539341,0.435808418701326,-5.90040190635585
CA11,0.139989905670475,9.57337437103183,2.66782702731502,0.0493920895631861,0.22925621400824,-4.44129631489335
CD99,0.139870530998079,11.111155128502,1.07351750764747,0.337091029576873,0.578858576604704,-6.39495041334775
APLP1,0.139869893030191,9.77510195760533,2.53389174050454,0.0575063091853808,0.247126363892531,-4.60820218360178
ATP7A,-0.13979150068271,8.68488109137111,-2.66929600976309,0.0493105176437288,0.22925621400824,-4.43947664992587
EGR3,0.139744201876914,8.85158739265275,1.94390164810559,0.115763831070162,0.339451622207778,-5.35778450394715
DCTN3,-0.139709640823879,10.6641583186424,-1.58767431330617,0.179503319932058,0.414458667955191,-5.80525437829986
BET1,-0.139651971973711,8.83938122419739,-2.88013200469355,0.0390347044961743,0.208386153275153,-4.18106840310246
DHPS,-0.139624761190181,10.654674860074,-1.88208201005444,0.124851316020521,0.350395246639134,-5.4364083680893
SERPINH1,0.139606407097018,11.8274182423094,2.18293005201232,0.0867348966969417,0.296896242452479,-5.05272920695373
CGA,-0.139598590002819,9.07987577244658,-2.53879713302256,0.0571840772828212,0.246181466051397,-4.60205630286779
XPO7,-0.139578536664089,9.47099461737815,-1.07922473659837,0.334795349349729,0.576716369796023,-6.38903826399325
SLC1A6,0.139545326685681,9.69160324549819,1.91685890755264,0.119650085271022,0.344249016649877,-5.39220652828598
ARHGAP35,-0.139359005889627,8.96499746168135,-1.93162576399978,0.117511160606554,0.342081974697589,-5.37341506491646
